CountryCode,SeriesCode,Year,DESCRIPTION
USA,OECD.TSAL.3.E15,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.3.ETOP,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.2.E0,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.2.E10,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.2.E15,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.2.ETOP,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.3.E0,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.3.E10,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.0.E15,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.0.ETOP,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.1.E0,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.1.E10,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.1.E15,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.1.ETOP,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.0.E0,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,OECD.TSAL.0.E10,YR2015,Actual base salaries. At the upper secondary level includes teachers working in vocational programmes.
USA,LO.TIMSS.SCI4.FE,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.SCI4.MA,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.MAT4,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.MAT4.BL,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.MAT4.FE,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.MAT4.MA,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.SCI4,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,LO.TIMSS.SCI4.BL,YR2015,National Defined Population covers 90% to 95% of the National Target Population. Met guidelines for sample participation rates only after replacement schools were included.
USA,UIS.EA.3.AG25T99.M,YR2012,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.M,YR2013,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.M,YR2014,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2013,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2014,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.M,YR2008,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.M,YR2009,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.M,YR2010,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.M,YR2011,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2014,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2008,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2009,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2010,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2011,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99.F,YR2012,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2008,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2009,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2010,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2011,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2012,Percentage includes post-secondary non-tertiary education.
USA,UIS.EA.3.AG25T99,YR2013,Percentage includes post-secondary non-tertiary education.
USA,SH.DYN.MORT,YR1974,Uncertainty bound is 19.4 - 20
USA,SH.DYN.MORT,YR1970,Uncertainty bound is 22.9 - 23.6
USA,SH.DYN.MORT,YR1979,Uncertainty bound is 15.4 - 15.9
USA,IT.NET.USER.P2,YR2009,NTIA/CPS survey.
USA,IT.NET.USER.P2,YR2010,NTIA/CPS survey.
USA,IT.NET.USER.P2,YR2011,Includes individuals 3 years and older
USA,IT.NET.USER.P2,YR2012,"U.S. Census Bureau, Table 2. Reported Internet Usage for Individuals 3 Years and Older, by State: 2012  [http://www.census.gov/hhes/computer/publications/2012.html]"
USA,SH.DYN.MORT,YR2008,Uncertainty bound is 7.5 - 7.8
USA,SH.DYN.MORT,YR1985,Uncertainty bound is 12.5 - 12.9
USA,SH.DYN.MORT,YR1989,Uncertainty bound is 11.4 - 11.8
USA,SH.DYN.MORT,YR2015,Uncertainty bound is 6.4 - 6.9
USA,SH.DYN.MORT,YR2002,Uncertainty bound is 8.1 - 8.4
USA,SH.DYN.MORT,YR2012,Uncertainty bound is 6.9 - 7.2
USA,SH.DYN.MORT,YR2013,Uncertainty bound is 6.8 - 7.1
USA,SH.DYN.MORT,YR2010,Uncertainty bound is 7.2 - 7.5
USA,SH.DYN.MORT,YR2000,Uncertainty bound is 8.3 - 8.6
USA,SH.DYN.MORT,YR1997,Uncertainty bound is 8.8 - 9.1
USA,SH.DYN.MORT,YR2016,Uncertainty bound is 6.1 - 6.9
USA,SH.DYN.MORT,YR1996,Uncertainty bound is 9 - 9.3
USA,SE.PRE.TCHR.FE.ZS,YR1998,Country estimation.
USA,SE.PRE.NENR,YR2006,Country estimation.
USA,SE.SEC.ENRL.GC.FE,YR2001,Country estimation.
USA,SE.PRE.TCHR.FE,YR1998,Country estimation.
USA,SE.PRE.ENRL,YR1999,Country estimation.
USA,SE.SEC.TCHR.FE,YR1998,Country estimation.
USA,SE.SEC.ENRL.GC,YR2007,Country estimation.
USA,SE.PRE.TCHR.FE.ZS,YR2001,Country estimation.
USA,SE.PRE.TCHR,YR2004,Country estimation.
USA,SE.SEC.ENRL.GC,YR2008,Country estimation.
USA,SE.PRE.ENRL.FE,YR2006,Country estimation.
USA,SE.SEC.ENRL.GC,YR2000,Country estimation.
USA,SE.PRE.NENR,YR2004,Country estimation.
USA,SE.PRE.NENR.MA,YR2000,Country estimation.
USA,SE.PRE.TCHR.FE,YR1996,Country estimation.
USA,SE.TER.TCHR.FE,YR2008,Country estimation.
USA,SE.PRE.TCHR,YR2002,Country estimation.
USA,SE.PRE.ENRL.FE,YR2004,Country estimation.
USA,SE.PRM.TCHR.FE,YR2002,Country estimation.
USA,SE.PRE.ENRL,YR1991,Country estimation.
USA,SE.PRE.TCHR.FE,YR2008,Country estimation.
USA,SE.SEC.ENRL.GC.FE.ZS,YR1991,Country estimation.
USA,SE.PRM.TCHR.FE,YR2000,Country estimation.
USA,SE.SEC.TCHR.FE,YR2005,Country estimation.
USA,SE.SEC.TCHR.FE,YR1994,Country estimation.
USA,SE.PRE.NENR,YR2003,Country estimation.
USA,SE.SEC.ENRL.GC.FE.ZS,YR2006,Country estimation.
USA,SE.SEC.ENRL.GC.FE.ZS,YR1993,Country estimation.
USA,SE.PRE.ENRL.FE,YR2007,Country estimation.
USA,SE.SEC.TCHR.FE,YR2004,Country estimation.
USA,SE.PRE.NENR,YR2001,Country estimation.
USA,SE.PRE.TCHR.FE,YR1999,Country estimation.
USA,SE.SEC.TCHR.FE,YR1993,Country estimation.
USA,SE.PRE.TCHR,YR2008,Country estimation.
USA,SE.PRE.ENRL,YR1990,Country estimation
USA,SE.SEC.TCHR.FE,YR1999,Country estimation.
USA,SE.PRE.TCHR.FE.ZS,YR2002,Country estimation.
USA,LO.PIRLS.REA.INT,YR2001,"The procedure for identifying International Benchmarks changed from the PIRLS 2001 method of using percentiles to a method based on scores that do not change from PIRLS cycle to cycle. In PIRLS 2001, the Intermediate Benchmark was called the ""Median Benchmark"" (50th percentile score or median), which corresponded to a scale score of 510. The 2001 data in this database were recalculated based on a 475 Intermediate Benchmark score and are different than the data found in the 2001 PIRLS report."
USA,LO.PIRLS.REA.INT.FE,YR2001,"The procedure for identifying International Benchmarks changed from the PIRLS 2001 method of using percentiles to a method based on scores that do not change from PIRLS cycle to cycle. In PIRLS 2001, the Intermediate Benchmark was called the ""Median Benchmark"" (50th percentile score or median), which corresponded to a scale score of 510. The 2001 data in this database were recalculated based on a 475 Intermediate Benchmark score and are different than the data found in the 2001 PIRLS report."
USA,LO.PIRLS.REA.INT.MA,YR2001,"The procedure for identifying International Benchmarks changed from the PIRLS 2001 method of using percentiles to a method based on scores that do not change from PIRLS cycle to cycle. In PIRLS 2001, the Intermediate Benchmark was called the ""Median Benchmark"" (50th percentile score or median), which corresponded to a scale score of 510. The 2001 data in this database were recalculated based on a 475 Intermediate Benchmark score and are different than the data found in the 2001 PIRLS report."
USA,SE.SEC.TCHR.FE,YR2003,Country estimation.
USA,SE.PRE.ENRL.FE,YR1999,Country estimation.
USA,SE.PRE.ENRL.FE,YR1996,Country estimation.
USA,SE.PRM.TCHR.FE,YR2004,Country estimation.
USA,SE.PRE.TCHR.FE.ZS,YR2000,Country estimation.
USA,SE.SEC.ENRL.GC.FE.ZS,YR1995,Country estimation.
USA,SE.PRE.TCHR,YR2003,Country estimation.
USA,UIS.E.2.GPV.G5.F,YR1995,UNESCO Institute for Statistics (UIS) estimate
USA,UIS.E.2.GPV.G5.T,YR1995,UNESCO Institute for Statistics (UIS) estimate
USA,UIS.FEP.8,YR1999,UNESCO Institute for Statistics (UIS) estimate
USA,UIS.NERT.1.GPI,YR1999,UNESCO Institute for Statistics (UIS) estimate
USA,UIS.NERT.1.GPI,YR2001,UNESCO Institute for Statistics (UIS) estimate
USA,UIS.NERT.1.GPI,YR2003,UNESCO Institute for Statistics (UIS) estimate
USA,UIS.NERT.1.GPI,YR2004,UNESCO Institute for Statistics (UIS) estimate
USA,LO.PIRLS.REA.LOW,YR2001,"The procedure for identifying International Benchmarks changed from the PIRLS 2001 method of using percentiles to a method based on scores that do not change from PIRLS cycle to cycle. In PIRLS 2001, the Low Benchmark was called the ""Lower Quarter Benchmark"" (25th percentile score), which corresponded to a scale score of 435. The 2001 data in this database were recalculated based on a 400 Low Benchmark score and are different than the data found in the 2001 PIRLS report."
USA,LO.PIRLS.REA.LOW.FE,YR2001,"The procedure for identifying International Benchmarks changed from the PIRLS 2001 method of using percentiles to a method based on scores that do not change from PIRLS cycle to cycle. In PIRLS 2001, the Low Benchmark was called the ""Lower Quarter Benchmark"" (25th percentile score), which corresponded to a scale score of 435. The 2001 data in this database were recalculated based on a 400 Low Benchmark score and are different than the data found in the 2001 PIRLS report."
USA,LO.PIRLS.REA.LOW.MA,YR2001,"The procedure for identifying International Benchmarks changed from the PIRLS 2001 method of using percentiles to a method based on scores that do not change from PIRLS cycle to cycle. In PIRLS 2001, the Low Benchmark was called the ""Lower Quarter Benchmark"" (25th percentile score), which corresponded to a scale score of 435. The 2001 data in this database were recalculated based on a 400 Low Benchmark score and are different than the data found in the 2001 PIRLS report."
USA,SE.COM.DURS,YR1998,Country estimation.
USA,SE.COM.DURS,YR1999,Country data
USA,SE.COM.DURS,YR2000,Country data
USA,SE.COM.DURS,YR2001,Country data
USA,SE.COM.DURS,YR2002,Country data
USA,SE.COM.DURS,YR2003,Country data
