id,name,county,gsRating,parentRating,zip,price,district,income
1,John F. Kennedy Middle School,San Mateo,5,3,94061,1584916.667,Redwood City Elementary School District,73031
3,Central Elementary School,San Mateo,9,5,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
4,Cipriani Elementary School,San Mateo,9,5,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
5,Fox Elementary School,San Mateo,9,4,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
6,Nesbit Elementary School,San Mateo,7,4,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
7,Ralston Intermediate School,San Mateo,9,4,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
8,Carlmont High School,San Mateo,9,4,94002,1751333.333,Sequoia Union High School District,88025
9,Brisbane Elementary School,San Mateo,7,4,94005,1130000,Brisbane Elementary School District,84247
10,Lipman Middle School,San Mateo,7,4,94005,1130000,Brisbane Elementary School District,84247
11,Burlingame Intermediate School,San Mateo,9,4,94010,2767750,Burlingame Elementary School District,82974
12,Franklin Elementary School,San Mateo,9,4,94010,2767750,Burlingame Elementary School District,82974
13,Lincoln Elementary School,San Mateo,9,4,94010,2767750,Burlingame Elementary School District,82974
14,McKinley Elementary School,San Mateo,8,4,94010,2767750,Burlingame Elementary School District,82974
15,Roosevelt Elementary School,San Mateo,7,4,94010,2767750,Burlingame Elementary School District,82974
16,Washington Elementary School,San Mateo,8,4,94010,2767750,Burlingame Elementary School District,82974
17,Crocker Middle School,San Mateo,9,4,94010,2767750,Hillsborough City Elementary School District,202292
18,North Hillsborough School,San Mateo,9,3,94010,2767750,Hillsborough City Elementary School District,202292
19,South Hillsborough School,San Mateo,9,5,94010,2767750,Hillsborough City Elementary School District,202292
20,West Hillsborough School,San Mateo,9,4,94010,2767750,Hillsborough City Elementary School District,202292
21,Burlingame High School,San Mateo,10,4,94010,2767750,San Mateo Union High School District,87301
23,Bayshore Elementary School,San Mateo,4,4,94014,938916.6667,Bayshore Elementary School District,91875
24,Panorama Elementary School,San Mateo,5,5,94014,938916.6667,Brisbane Elementary School District,84247
31,Jefferson High School,San Mateo,5,4,94014,938916.6667,Jefferson Union High School District,75479
41,Westmoor High School,San Mateo,8,4,94015,1004833.333,Jefferson Union High School District,75479
42,Junipero Serra Elementary School,San Mateo,7,4,94015,1004833.333,South San Francisco Unified School District,75205
43,Skyline Elementary School,San Mateo,6,4,94015,1004833.333,South San Francisco Unified School District,75205
45,Manuel F. Cunha Intermediate School,San Mateo,5,4,94019,1213500,Cabrillo Unified School District,106250
46,El Granada Elementary School,San Mateo,5,5,94019,1213500,Cabrillo Unified School District,106250
47,Half Moon Bay High School,San Mateo,8,3,94019,1213500,Cabrillo Unified School District,106250
48,Alvin S. Hatch Elementary School,San Mateo,4,4,94019,1213500,Cabrillo Unified School District,106250
52,Almond Elementary School,Santa Clara,9,4,94022,3580416.667,Los Altos Elementary School District,138869
53,Ardis G. Egan Junior High School,Santa Clara,9,4,94022,3580416.667,Los Altos Elementary School District,138869
54,Santa Rita Elementary School,Santa Clara,8,5,94022,3580416.667,Los Altos Elementary School District,138869
56,Gardner Bullis Elementary School,Santa Clara,9,5,94022,3580416.667,Los Altos Elementary School District,138869
58,Georgina P. Blach Junior High School,Santa Clara,10,5,94024,3311750,Los Altos Elementary School District,138869
59,Loyola Elementary School,Santa Clara,9,4,94024,3311750,Los Altos Elementary School District,138869
60,Oak Avenue Elementary School,Santa Clara,9,5,94024,3311750,Los Altos Elementary School District,138869
61,Covington Elementary School,Santa Clara,9,5,94024,3311750,Los Altos Elementary School District,138869
62,La Entrada Middle School,San Mateo,9,4,94025,2301250,Las Lomitas Elementary School District,136950
63,Hillview Middle School,San Mateo,8,4,94025,2301250,Menlo Park City Elementary School District,125442
64,Oak Knoll Elementary School,San Mateo,9,5,94025,2301250,Menlo Park City Elementary School District,125442
65,Belle Haven Elementary School,San Mateo,2,2,94025,2301250,Ravenswood City Elementary School District,48639
66,Willow Oaks Elementary School,San Mateo,1,3,94025,2301250,Ravenswood City Elementary School District,48639
67,Garfield Elementary School,San Mateo,2,3,94025,2301250,Redwood City Elementary School District,73031
68,Menlo-Atherton High School,San Mateo,8,4,94025,2301250,Sequoia Union High School District,88025
71,Encinal Elementary School,San Mateo,8,5,94027,6166666.667,Menlo Park City Elementary School District,125442
72,Laurel Elementary School,San Mateo,8,4,94027,6166666.667,Menlo Park City Elementary School District,125442
73,Selby Lane Elementary School,San Mateo,5,4,94027,6166666.667,Redwood City Elementary School District,73031
74,Corte Madera School,San Mateo,9,4,94028,3360583.333,Portola Valley Elementary School District,177083
80,Mills High School,San Mateo,9,4,94030,1674166.667,San Mateo Union High School District,87301
81,Farallone View Elementary School,San Mateo,4,4,94037,1219250,Cabrillo Unified School District,106250
82,Springer Elementary School,Santa Clara,9,5,94040,2089583.333,Los Altos Elementary School District,138869
98,Oceana High School,San Mateo,7,4,94044,1061833.333,Jefferson Union High School District,75479
99,Terra Nova High School,San Mateo,8,4,94044,1061833.333,Jefferson Union High School District,75479
109,Adelante Spanish Immersion School,San Mateo,5,5,94061,1584916.667,Redwood City Elementary School District,73031
110,Roy Cloud Elementary School,San Mateo,8,4,94061,1584916.667,Redwood City Elementary School District,73031
111,Henry Ford Elementary School,San Mateo,5,4,94061,1584916.667,Redwood City Elementary School District,73031
112,Hawes Elementary School,San Mateo,5,4,94061,1584916.667,Redwood City Elementary School District,73031
113,Roosevelt Elementary School,San Mateo,6,5,94061,1584916.667,Redwood City Elementary School District,73031
114,Kings Mountain Elementary School,San Mateo,8,5,94062,2147750,Cabrillo Unified School District,106250
115,Clifford Elementary School,San Mateo,7,4,94062,2147750,Redwood City Elementary School District,73031
116,John Gill Elementary School,San Mateo,6,4,94062,2147750,Redwood City Elementary School District,73031
117,Mckinley Institute Of Technology,San Mateo,4,4,94062,2147750,Redwood City Elementary School District,73031
118,North Star Academy,San Mateo,10,4,94062,2147750,Redwood City Elementary School District,73031
119,Sequoia High School,San Mateo,6,4,94062,2147750,Sequoia Union High School District,88025
120,Woodside High School,San Mateo,7,4,94062,2147750,Sequoia Union High School District,88025
121,Woodside Elementary School,San Mateo,9,5,94062,2147750,Woodside Elementary School District,197250
123,Fair Oaks Elementary School,San Mateo,3,5,94063,1214000,Redwood City Elementary School District,73031
124,Hoover Elementary School,San Mateo,5,5,94063,1214000,Redwood City Elementary School District,73031
125,Taft Elementary School,San Mateo,4,3,94063,1214000,Redwood City Elementary School District,73031
127,Orion Alternative School,San Mateo,6,5,94063,1214000,Redwood City Elementary School District,73031
128,Sandpiper Elementary School,San Mateo,9,4,94065,1419416.667,Belmont-Redwood Shores Elementary School District,102348
131,Redwood Shores Elementary School,San Mateo,8,5,94065,1419416.667,Belmont-Redwood Shores Elementary School District,102348
133,Allen (Decima M.) Elementary School,San Mateo,5,4,94066,1037250,San Bruno Park Elementary School District,74689
134,Belle Air Elementary School,San Mateo,1,4,94066,1037250,San Bruno Park Elementary School District,74689
135,El Crystal Elementary School,San Mateo,7,4,94066,1037250,San Bruno Park Elementary School District,74689
136,John Muir Elementary School,San Mateo,8,5,94066,1037250,San Bruno Park Elementary School District,74689
137,Parkside Intermediate School,San Mateo,5,3,94066,1037250,San Bruno Park Elementary School District,74689
138,Rollingwood Elementary School,San Mateo,5,4,94066,1037250,San Bruno Park Elementary School District,74689
139,Capuchino High School,San Mateo,7,4,94066,1037250,San Mateo Union High School District,87301
140,Monte Verde Elementary School,San Mateo,9,4,94066,1037250,South San Francisco Unified School District,75205
141,Portola Elementary School,San Mateo,6,5,94066,1037250,San Bruno Park Elementary School District,74689
144,Central Middle School,San Mateo,10,4,94070,1865416.667,San Carlos Elementary School District,104457
146,Alta Loma Middle School,San Mateo,6,3,94080,1024666.667,South San Francisco Unified School District,75205
148,Buri Buri Elementary School,San Mateo,6,5,94080,1024666.667,South San Francisco Unified School District,75205
149,El Camino High School,San Mateo,8,4,94080,1024666.667,South San Francisco Unified School District,75205
151,Los Cerritos Elementary School,San Mateo,3,4,94080,1024666.667,South San Francisco Unified School District,75205
