id,name,county,gsRating,parentRating,zip,price,district,income
1,John F. Kennedy Middle School,San Mateo,5,3,94061,1584916.667,Redwood City Elementary School District,73031
2,Pleasant Hill Middle School,Contra Costa,6,4,94523,741000,Mt. Diablo Unified School District,0
3,Central Elementary School,San Mateo,9,5,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
4,Cipriani Elementary School,San Mateo,9,5,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
5,Fox Elementary School,San Mateo,9,4,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
6,Nesbit Elementary School,San Mateo,7,4,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
7,Ralston Intermediate School,San Mateo,9,4,94002,1751333.333,Belmont-Redwood Shores Elementary School District,102348
8,Carlmont High School,San Mateo,9,4,94002,1751333.333,Sequoia Union High School District,88025
9,Brisbane Elementary School,San Mateo,7,4,94005,1130000,Brisbane Elementary School District,84247
10,Lipman Middle School,San Mateo,7,4,94005,1130000,Brisbane Elementary School District,84247
11,Burlingame Intermediate School,San Mateo,9,4,94010,2767750,Burlingame Elementary School District,82974
12,Franklin Elementary School,San Mateo,9,4,94010,2767750,Burlingame Elementary School District,82974
13,Lincoln Elementary School,San Mateo,9,4,94010,2767750,Burlingame Elementary School District,82974
14,McKinley Elementary School,San Mateo,8,4,94010,2767750,Burlingame Elementary School District,82974
15,Roosevelt Elementary School,San Mateo,7,4,94010,2767750,Burlingame Elementary School District,82974
16,Washington Elementary School,San Mateo,8,4,94010,2767750,Burlingame Elementary School District,82974
17,Crocker Middle School,San Mateo,9,4,94010,2767750,Hillsborough City Elementary School District,202292
18,North Hillsborough School,San Mateo,9,3,94010,2767750,Hillsborough City Elementary School District,202292
19,South Hillsborough School,San Mateo,9,5,94010,2767750,Hillsborough City Elementary School District,202292
20,West Hillsborough School,San Mateo,9,4,94010,2767750,Hillsborough City Elementary School District,202292
21,Burlingame High School,San Mateo,10,4,94010,2767750,San Mateo Union High School District,87301
22,Hoover Elementary,San Mateo,9,0,94010,2767750,Burlingame Elementary School District,82974
23,Bayshore Elementary School,San Mateo,4,4,94014,938916.6667,Bayshore Elementary School District,91875
24,Panorama Elementary School,San Mateo,5,5,94014,938916.6667,Brisbane Elementary School District,84247
25,Susan B. Anthony Elementary School,San Mateo,4,5,94014,938916.6667,Jefferson Elementary School District,0
26,John F. Kennedy Elementary School,San Mateo,4,4,94014,938916.6667,Jefferson Elementary School District,0
27,Thomas R. Pollicita Middle School,San Mateo,4,4,94014,938916.6667,Jefferson Elementary School District,0
28,George Washington Elementary School,San Mateo,4,4,94014,938916.6667,Jefferson Elementary School District,0
29,Woodrow Wilson Elementary School,San Mateo,2,5,94014,938916.6667,Jefferson Elementary School District,0
30,Thornton High School,San Mateo,0,3,94014,938916.6667,Jefferson Union High School District,75479
31,Jefferson High School,San Mateo,5,4,94014,938916.6667,Jefferson Union High School District,75479
32,Margaret Pauline Brown Elementary School,San Mateo,4,4,94015,1004833.333,Jefferson Elementary School District,0
33,Thomas Edison Elementary School,San Mateo,6,4,94015,1004833.333,Jefferson Elementary School District,0
34,Benjamin Franklin Intermediate School,San Mateo,6,3,94015,1004833.333,Jefferson Elementary School District,0
35,Garden Village Elementary School,San Mateo,3,5,94015,1004833.333,Jefferson Elementary School District,0
36,Fernando Rivera Intermediate School,San Mateo,8,5,94015,1004833.333,Jefferson Elementary School District,0
