gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,distance,schoolStatsLink
1,Alameda High School,public,9-12,1853.0,9.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"2201 Encinal Avenue, 
Alameda, CA  94501",(510) 337-7022,(510) 521-4740,http://aus.alamedausd.ca.schoolloop.com/,60177000041.0,37.764294,-122.24807,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.1,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral
2,Bay Farm,public,K-8,591.0,9.0,5.0,Alameda,CA,1,Alameda Unified School District,601770,"200 Aughinbaugh Way, 
Alameda, CA  94502",(510) 748-4010,(510) 865-2194,http://bayfarm.alamedausd.ca.schoolloop.com,60177000006.0,37.739000000000004,-122.25195,https://www.greatschools.org/california/alameda/2-Bay-Farm/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/2-Bay-Farm/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/2-Bay-Farm/?utm_source=GSAPI&utm_medium=referral#Reviews,2.2,https://www.greatschools.org/california/alameda/2-Bay-Farm/?utm_source=GSAPI&utm_medium=referral
4,Amelia Earhart Elementary School,public,K-5,622.0,9.0,5.0,Alameda,CA,1,Alameda Unified School District,601770,"400 Packet Landing Road, 
Alameda, CA  94502",(510) 748-4003,(510) 523-5837,http://earhart.alamedausd.ca.schoolloop.com,60177000043.0,37.745290000000004,-122.23928000000001,https://www.greatschools.org/california/alameda/4-Amelia-Earhart-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/4-Amelia-Earhart-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/4-Amelia-Earhart-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,0.94,https://www.greatschools.org/california/alameda/4-Amelia-Earhart-Elementary-School/?utm_source=GSAPI&utm_medium=referral
5,Edison Elementary School,public,K-5,478.0,9.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"2700 Buena Vista Avenue, 
Alameda, CA  94501",(510) 748-4002,(510) 523-6131,http://edison.alamedausd.ca.schoolloop.com,60177000044.0,37.765083000000004,-122.23421,https://www.greatschools.org/california/alameda/5-Edison-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/5-Edison-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/5-Edison-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.3,https://www.greatschools.org/california/alameda/5-Edison-Elementary-School/?utm_source=GSAPI&utm_medium=referral
6,Encinal Junior/Senior High,public,6-12,1336.0,6.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"210 Central Avenue, 
Alameda, CA  94501",(510) 748-4023,,http://ehs.alamedausd.ca.schoolloop.com/,60177000045.0,37.772766,-122.289,https://www.greatschools.org/california/alameda/6-Encinal-Junior-Senior-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/6-Encinal-Junior-Senior-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/6-Encinal-Junior-Senior-High/?utm_source=GSAPI&utm_medium=referral#Reviews,1.93,https://www.greatschools.org/california/alameda/6-Encinal-Junior-Senior-High/?utm_source=GSAPI&utm_medium=referral
7,Franklin Elementary School,public,K-5,339.0,8.0,5.0,Alameda,CA,1,Alameda Unified School District,601770,"1433 San Antonio Avenue, 
Alameda, CA  94501",(510) 748-4004,(510) 337-2439,http://franklin.alamedausd.ca.schoolloop.com,60177004337.0,37.769034999999995,-122.2616,https://www.greatschools.org/california/alameda/7-Franklin-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/7-Franklin-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/7-Franklin-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,1.87,https://www.greatschools.org/california/alameda/7-Franklin-Elementary-School/?utm_source=GSAPI&utm_medium=referral
8,Henry Haight Elementary School,public,K-5,438.0,7.0,3.0,Alameda,CA,1,Alameda Unified School District,601770,"2025 Santa Clara Avenue, 
Alameda, CA  94501",(510) 748-4005,(510) 523-6178,http://haightschool.alamedausd.ca.schoolloop.com,60177000047.0,37.769333,-122.25106000000001,https://www.greatschools.org/california/alameda/8-Henry-Haight-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/8-Henry-Haight-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/8-Henry-Haight-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.05,https://www.greatschools.org/california/alameda/8-Henry-Haight-Elementary-School/?utm_source=GSAPI&utm_medium=referral
9,Island High (Continuation) School,public,9-12,117.0,,4.0,Alameda,CA,1,Alameda Unified School District,601770,"500 Pacific Avenue, 
Alameda, CA  94501",(510) 748-4024,(510) 769-7417,http://ihs.alamedausd.ca.schoolloop.com/,60177000048.0,37.775723,-122.28124,https://www.greatschools.org/california/alameda/9-Island-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/9-Island-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/9-Island-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.35,https://www.greatschools.org/california/alameda/9-Island-High-(Continuation)-School/?utm_source=GSAPI&utm_medium=referral
10,Lincoln Middle School,public,6-8,888.0,9.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"1250 Fernside Boulevard, 
Alameda, CA  94501",(510) 748-4018,(510) 523-6217,http://lms.alamedausd.ca.schoolloop.com,60177000049.0,37.752243,-122.23276000000001,https://www.greatschools.org/california/alameda/10-Lincoln-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/10-Lincoln-Middle-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/10-Lincoln-Middle-School/?utm_source=GSAPI&utm_medium=referral#Reviews,2.35,https://www.greatschools.org/california/alameda/10-Lincoln-Middle-School/?utm_source=GSAPI&utm_medium=referral
12,Donald D. Lum Elementary School,public,4-5,520.0,9.0,4.0,Alameda,CA,1,Alameda Unified School District,601770,"420 Grand Street, 
Alameda, CA  94501",(510) 748-4015,(510) 523-6717,http://www.alameda.k12.ca.us,60177000051.0,37.761326000000004,-122.26245,https://www.greatschools.org/california/alameda/12-Donald-D.-Lum-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/12-Donald-D.-Lum-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/12-Donald-D.-Lum-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,3.7,https://www.greatschools.org/california/alameda/12-Donald-D.-Lum-Elementary-School/?utm_source=GSAPI&utm_medium=referral
